Buy,Sell
0,0.000154939
0.000778306,0.001005759
0.004255927,0.004994153
0.002686762,0.002285766
-0.00230192,-0.000760586
-0.001155551,-0.00267259
-0.003874196,-0.003460532
-0.001403214,-0.00216722
0.000234184,-0.000310488
0.000390027,0.002091496
0.002720422,0.002312132
-0.001163809,-0.001540053
0,0
0.000776219,0.000385526
-0.000387936,-0.000771394
-0.001165892,0.001156577
0.000777609,-0.001156577
0.000776219,0.000385868
0,0.000385526
0.001161734,0.000770026
-0.002326583,-0.001155551
0.002094485,0.000385526
0.000232098,0
0.000927155,0.002075945
-0.0005406,-0.000921417
-0.000773454,-0.000615366
0.001545534,0.000999527
0.001540053,0.002679657
-0.000769344,-0.002065705
0,0.000153353
0.001153505,0.001530555
-0.001153505,-0.000764603
0,-0.000536024
-0.000770709,0.000153217
0.001693758,0.00114741
-0.000153705,-0.000382133
0.000384161,0.000763931
0.001533257,0.001903968
0.00038247,0.001138387
0.000382133,0.0003788
-0.000764603,0
0,0
0,0
0,0.000151428
-0.001149435,-0.002429201
0.001149435,0.00114038
-0.001917418,-0.00266556
-0.002698687,-0.00229786
-0.001937953,-0.001924214
-0.000777609,-0.001158634
-0.000779004,-0.000386899
0.002332832,0.001545534
0.000774834,0.001155551
0.000386899,0
-0.000774144,-0.000384842
-0.000232512,-0.000770709
-0.000931297,-0.000772079
0,-0.000386555
0.000388283,0.000386555
-0.001555219,-0.000773454
-0.000389677,-0.00116277
-0.000233974,-0.000388283
-0.004075705,-0.003118825
0.001415153,0
-0.000235539,0.000781808
-0.001967808,-0.001173241
-0.001184979,-0.001962473
0.000790345,0.000786054
0.003930294,0.003909068
-0.001960701,-0.001950136
0.001725884,0.000937158
-0.000156615,0.000233974
-0.000391786,0
-0.000784633,-0.000780404
-0.000392849,-0.000390728
-0.001574959,-0.001566438
0.001339079,0.001175358
0.000471632,-0.000156531
0,0.000391221
-0.000235752,-0.00023469
0,0.00039108
-0.000393205,-0.001174299
0.000235965,0.000235114
-0.001812354,-0.001805801
0,0.000393205
0.000394634,0.000392849
-0.001184979,-0.000786054
-0.005172602,-0.004348911
-0.000801282,-0.001592282
0.00343507,0.003178748
0.004118068,0.004333133
-0.000788909,-0.001177482
-0.000394993,-0.000393205
-0.001187138,-0.000787479
0.001345178,0.001180684
-0.00015804,-0.000393205
0.000394993,0.000786054
-0.000394993,-0.000786054
-0.000395352,-0.000787479
0,0.000787479
0.000790345,0.000786054
-0.000394993,-0.000786054
0.000394993,0
0.000157897,0.000786054
0.001418492,0.00234966
0.001178547,0.000390377
0.00039214,0.000234058
0.001565027,0.0024888
-0.000781808,-0.001553828
0.00039108,0.000388979
-0.000782513,-0.000778306
0.000391433,0.000778306
-0.001175358,-0.002417302
-0.000392494,-0.000156418
-0.001179615,-0.000156474
0.001179615,0
-0.000392849,0
0.000785343,0.001172186
-0.000392494,-0.001015711
0.00094139,0.001015711
0.000235029,0.000390027
-0.000391786,0
0,0
-0.000156813,-0.000390027
0.000156813,0.000234058
0.001955404,0.001323951
0.001558009,0.002713138
-0.000388979,-0.000773454
0.001553828,0.001545534
-0.00023272,-0.000772079
-0.000932129,-0.000773454
-0.001167982,-0.000929967
0.001944896,0.002089633
0.000775526,-0.000386211
0,0.000772079
-0.000775526,-0.000154306
0.00154967,0.000770983
-0.002326583,-0.001002545
0.00116485,0.000617224
0.00038759,0.000154169
0.001006118,0.000231151
-0.0000773,0.000154032
-0.000541563,0
0,0
0.000773454,0.000769344
-0.000386555,-0.000384502
0,0.000384502
0.003082849,0.001917418
0,0.000764603
0.001915726,0.00266556
0.002667899,0.002649299
-0.000380126,-0.000377483
-0.001523842,-0.001513223
-0.000763931,-0.001138387
0.001374109,0.000607511
-0.000228716,0.000151745
-0.000763259,-0.000759256
0,0
-0.000382133,-0.000380126
0.001145393,0.001139383
0,-0.000379462
-0.000381462,-0.000379794
-0.000381797,0
-0.00114741,-0.001141379
0.000765277,0.000761253
-0.00038247,-0.000228236
-0.003071945,-0.002059537
0.001922511,0.000382133
-0.000767983,-0.000764603
0,0
-0.000769344,-0.000382807
0.002150738,0.002139386
