GI? MUA,GI? B?N,Buy,Sell
5575,5605,,
5575,5607,0,0.000154939
5585,5620,0.000778306,0.001005759
5640,5685,0.004255927,0.004994153
5675,5715,0.002686762,0.002285766
5645,5705,-0.00230192,-0.000760586
5630,5670,-0.001155551,-0.00267259
5580,5625,-0.003874196,-0.003460532
5562,5597,-0.001403214,-0.00216722
5565,5593,0.000234184,-0.000310488
5570,5620,0.000390027,0.002091496
5605,5650,0.002720422,0.002312132
5590,5630,-0.001163809,-0.001540053
5590,5630,0,0
5600,5635,0.000776219,0.000385526
5595,5625,-0.000387936,-0.000771394
5580,5640,-0.001165892,0.001156577
5590,5625,0.000777609,-0.001156577
5600,5630,0.000776219,0.000385868
5600,5635,0,0.000385526
5615,5645,0.001161734,0.000770026
5585,5630,-0.002326583,-0.001155551
5612,5635,0.002094485,0.000385526
5615,5635,0.000232098,0
5627,5662,0.000927155,0.002075945
5620,5650,-0.0005406,-0.000921417
5610,5642,-0.000773454,-0.000615366
5630,5655,0.001545534,0.000999527
5650,5690,0.001540053,0.002679657
5640,5663,-0.000769344,-0.002065705
5640,5665,0,0.000153353
5655,5685,0.001153505,0.001530555
5640,5675,-0.001153505,-0.000764603
5640,5668,0,-0.000536024
5630,5670,-0.000770709,0.000153217
5652,5685,0.001693758,0.00114741
5650,5680,-0.000153705,-0.000382133
5655,5690,0.000384161,0.000763931
5675,5715,0.001533257,0.001903968
5680,5730,0.00038247,0.001138387
5685,5735,0.000382133,0.0003788
5675,5735,-0.000764603,0
5675,5735,0,0
5675,5735,0,0
5675,5737,0,0.000151428
5660,5705,-0.001149435,-0.002429201
5675,5720,0.001149435,0.00114038
5650,5685,-0.001917418,-0.00266556
5615,5655,-0.002698687,-0.00229786
5590,5630,-0.001937953,-0.001924214
5580,5615,-0.000777609,-0.001158634
5570,5610,-0.000779004,-0.000386899
5600,5630,0.002332832,0.001545534
5610,5645,0.000774834,0.001155551
5615,5645,0.000386899,0
5605,5640,-0.000774144,-0.000384842
5602,5630,-0.000232512,-0.000770709
5590,5620,-0.000931297,-0.000772079
5590,5615,0,-0.000386555
5595,5620,0.000388283,0.000386555
5575,5610,-0.001555219,-0.000773454
5570,5595,-0.000389677,-0.00116277
5567,5590,-0.000233974,-0.000388283
5515,5550,-0.004075705,-0.003118825
5533,5550,0.001415153,0
5530,5560,-0.000235539,0.000781808
5505,5545,-0.001967808,-0.001173241
5490,5520,-0.001184979,-0.001962473
5500,5530,0.000790345,0.000786054
5550,5580,0.003930294,0.003909068
5525,5555,-0.001960701,-0.001950136
5547,5567,0.001725884,0.000937158
5545,5570,-0.000156615,0.000233974
5540,5570,-0.000391786,0
5530,5560,-0.000784633,-0.000780404
5525,5555,-0.000392849,-0.000390728
5505,5535,-0.001574959,-0.001566438
5522,5550,0.001339079,0.001175358
5528,5548,0.000471632,-0.000156531
5528,5553,0,0.000391221
5525,5550,-0.000235752,-0.00023469
5525,5555,0,0.00039108
5520,5540,-0.000393205,-0.001174299
5523,5543,0.000235965,0.000235114
5500,5520,-0.001812354,-0.001805801
5500,5525,0,0.000393205
5505,5530,0.000394634,0.000392849
5490,5520,-0.001184979,-0.000786054
5425,5465,-0.005172602,-0.004348911
5415,5445,-0.000801282,-0.001592282
5458,5485,0.00343507,0.003178748
5510,5540,0.004118068,0.004333133
5500,5525,-0.000788909,-0.001177482
5495,5520,-0.000394993,-0.000393205
5480,5510,-0.001187138,-0.000787479
5497,5525,0.001345178,0.001180684
5495,5520,-0.00015804,-0.000393205
5500,5530,0.000394993,0.000786054
5495,5520,-0.000394993,-0.000786054
5490,5510,-0.000395352,-0.000787479
5490,5520,0,0.000787479
5500,5530,0.000790345,0.000786054
5495,5520,-0.000394993,-0.000786054
5500,5520,0.000394993,0
5502,5530,0.000157897,0.000786054
5520,5560,0.001418492,0.00234966
5535,5565,0.001178547,0.000390377
5540,5568,0.00039214,0.000234058
5560,5600,0.001565027,0.0024888
5550,5580,-0.000781808,-0.001553828
